Timestamp,Game ID:,Match Date:,Match Type:,1st Place (Player ID):,1st Place (Corp):,1st Place (Score):,2nd Place (Player ID):,2nd Place (Corp):,2nd Place (Score):,3rd Place (Player ID):,3rd Place (Corp):,3rd Place (Score):,(*For Ties Only*) 1st Place (MC):,(*For Ties Only*) 2nd Place (MC):,(*For Ties Only*) 3rd Place (MC):,Video:,Discord Post:
7/28/2021 20:42:23,A0123,7/28/2021,Season 2,GoBirds,Thorgate,85,ScratchesTheBear,Ecoline,78,Tjreid1,Saturn Systems,77,,,,,"1st - GoBirds (85 VP, Thorgate) // 2nd - ScratchesTheBear (78 VP, Ecoline) // 3rd - Tjreid1 (77 VP, Saturn Systems)"
7/28/2021 21:03:10,A0125,7/28/2021,Season 2,ecologist,Saturn Systems,104,Mars University,Credicor,90,Street-Justice,Ecoline,70,,,,,"1st - ecologist (104 VP, Saturn Systems) // 2nd - Mars University (90 VP, Credicor) // 3rd - Street-Justice (70 VP, Ecoline)"
7/28/2021 22:43:50,A0118,7/28/2021,Season 2,anthracite,Ecoline,75,ragingduck,Phobolog,70,Brendan18363,Saturn Systems,70,,,,,"1st - anthracite (75 VP, Ecoline) // 2nd - ragingduck (70 VP, Phobolog) // 3rd - Brendan18363 (70 VP, Saturn Systems)"
7/29/2021 13:31:17,A0152,7/29/2021,Season 2,mifciu,United Nations Mars Initiative,86,boomata,Teractor,70,Ghaleon,Credicor,69,,,,,"1st - mifciu (86 VP, United Nations Mars Initiative) // 2nd - boomata (70 VP, Teractor) // 3rd - Ghaleon (69 VP, Credicor)"
7/29/2021 15:00:34,A0048,7/29/2021,Season 2,Stayfun,Credicor,77,komodo,Tharsis Republic,66,rybisznurek,Phobolog,61,,,,,"1st - Stayfun (77 VP, Credicor) // 2nd - komodo (66 VP, Tharsis Republic) // 3rd - rybisznurek (61 VP, Phobolog)"
7/31/2021 5:11:18,A0335,7/31/2021,Season 2,adysk,Inventrix,88,HighlanderKG,Thorgate,87,Dahyunayeon,Tharsis Republic,71,,,,https://youtu.be/NrAAL6dYqww,"1st - adysk (88 VP, Inventrix) // 2nd - HighlanderKG (87 VP, Thorgate) // 3rd - Dahyunayeon (71 VP, Tharsis Republic)"
7/31/2021 18:48:08,A0117,7/30/2021,Season 2,ikefalcon,Interplanetary Cinematics,98,RonaldMexico,Saturn Systems,91,Roto von Bismarck,Teractor,82,,,,,"1st - ikefalcon (98 VP, Interplanetary Cinematics) // 2nd - RonaldMexico (91 VP, Saturn Systems) // 3rd - Roto von Bismarck (82 VP, Teractor)"
8/1/2021 15:54:23,A0096,8/1/2021,Season 2,Polukranos,Saturn Systems,92,LambTree,Credicor,80,Inspe,Ecoline,77,,,,,"1st - Polukranos (92 VP, Saturn Systems) // 2nd - LambTree (80 VP, Credicor) // 3rd - Inspe (77 VP, Ecoline)"
8/2/2021 14:42:00,A0082,7/31/2021,Season 2,A1RO,Mining Guild,93,EliteNEET,Phobolog,85,Scottmars,Saturn Systems,75,,,,https://www.twitch.tv/videos/1105146456,"1st - A1RO (93 VP, Mining Guild) // 2nd - EliteNEET (85 VP, Phobolog) // 3rd - Scottmars (75 VP, Saturn Systems)"
8/2/2021 15:08:25,A0238,8/2/2021,Season 2,Andrewcool,Saturn Systems,71,AwesomeAxolotl,Teractor,58,TAMPNGFABRIKEN,Tharsis Republic,57,,,,,"1st - Andrewcool (71 VP, Saturn Systems) // 2nd - AwesomeAxolotl (58 VP, Teractor) // 3rd - TAMPNGFABRIKEN (57 VP, Tharsis Republic)"
8/2/2021 15:48:05,A0244,8/2/2021,Season 2,Druen,Inventrix,86,adysk,Mining Guild,85,Twigg96wafc,Phobolog,72,,,,https://youtu.be/m5jhA-waPAY,"1st - Druen (86 VP, Inventrix) // 2nd - adysk (85 VP, Mining Guild) // 3rd - Twigg96wafc (72 VP, Phobolog)"
8/2/2021 18:35:27,A0121,8/2/2021,Season 2,ThreadPacifist,Interplanetary Cinematics,92,Omar Lapince,Teractor,59,StandByForHorseConch,Inventrix,48,,,,https://www.twitch.tv/videos/1106258205,"1st - ThreadPacifist (92 VP, Interplanetary Cinematics) // 2nd - Omar Lapince (59 VP, Teractor) // 3rd - StandByForHorseConch (48 VP, Inventrix)"
8/3/2021 4:57:54,A0107,8/2/2021,Season 2,Venophile,Mining Guild,80,mifciu,Phobolog,80,KromCoconut,Credicor,61,68,66,,,"1st - Venophile (80 VP, Mining Guild) // 2nd - mifciu (80 VP, Phobolog) // 3rd - KromCoconut (61 VP, Credicor)"
8/3/2021 8:32:43,A0108,8/3/2021,Season 2,Milestone Party,Tharsis Republic,94,Ghaleon,Inventrix,86,Sickysoka,Phobolog,81,,,,,"1st - Milestone Party (94 VP, Tharsis Republic) // 2nd - Ghaleon (86 VP, Inventrix) // 3rd - Sickysoka (81 VP, Phobolog)"
8/3/2021 15:59:10,A0097,8/3/2021,Season 2,Smior,Teractor,105,DonnieDarko84,Saturn Systems,100,Lazlo23,Mining Guild,98,,,,,"1st - Smior (105 VP, Teractor) // 2nd - DonnieDarko84 (100 VP, Saturn Systems) // 3rd - Lazlo23 (98 VP, Mining Guild)"
8/3/2021 16:17:56,A0186,8/3/2021,Season 2,LambTree,Credicor,82,jszhmann,Inventrix,68,Ladyfromafar,Helion,63,,,,,"1st - LambTree (82 VP, Credicor) // 2nd - jszhmann (68 VP, Inventrix) // 3rd - Ladyfromafar (63 VP, Helion)"
8/3/2021 20:51:34,A0129,8/3/2021,Season 2,Petrifis,Interplanetary Cinematics,89,karmakanik,Credicor,85,A1RO,Inventrix,68,,,,,"1st - Petrifis (89 VP, Interplanetary Cinematics) // 2nd - karmakanik (85 VP, Credicor) // 3rd - A1RO (68 VP, Inventrix)"
8/3/2021 21:18:22,A0115,8/3/2021,Season 2,Private O'Malley,Phobolog,118,kroshtron,Interplanetary Cinematics,95,hazMatt,Credicor,77,,,,https://www.twitch.tv/videos/1107419966,"1st - Private O'Malley (118 VP, Phobolog) // 2nd - kroshtron (95 VP, Interplanetary Cinematics) // 3rd - hazMatt (77 VP, Credicor)"
8/3/2021 21:46:46,A0170,8/3/2021,Season 2,Mars University,Credicor,83,Kkenne5,Interplanetary Cinematics,79,ARLONG573,Saturn Systems,75,,,,https://www.twitch.tv/videos/1107427619,"1st - Mars University (83 VP, Credicor) // 2nd - Kkenne5 (79 VP, Interplanetary Cinematics) // 3rd - ARLONG573 (75 VP, Saturn Systems)"
8/3/2021 23:29:36,A0176,8/3/2021,Season 2,h0dgep0dge,Tharsis Republic,78,emily's worst nightmare,Ecoline,71,vstan,Inventrix,70,,,,https://www.twitch.tv/videos/1107348003,"1st - h0dgep0dge (78 VP, Tharsis Republic) // 2nd - emily's worst nightmare (71 VP, Ecoline) // 3rd - vstan (70 VP, Inventrix)"
8/4/2021 14:29:03,A0235,8/4/2021,Season 2,Keenankj,Credicor,102,Deginald,Tharsis Republic,85,Jimaros2004,Thorgate,61,,,,https://youtu.be/KXLhjW10XPM,"1st - Keenankj (102 VP, Credicor) // 2nd - Deginald (85 VP, Tharsis Republic) // 3rd - Jimaros2004 (61 VP, Thorgate)"
8/4/2021 15:38:07,A0136,8/4/2021,Season 2,Lovinho,Teractor,109,MartianTomato,Tharsis Republic,97,Stayfun,Credicor,90,,,,,"1st - Lovinho (109 VP, Teractor) // 2nd - MartianTomato (97 VP, Tharsis Republic) // 3rd - Stayfun (90 VP, Credicor)"
8/4/2021 18:50:56,A0126,8/4/2021,Season 2,SomeGlitch,Credicor,95,ARLONG573,United Nations Mars Initiative,70,Big Don,Ecoline,60,,,,,"1st - SomeGlitch (95 VP, Credicor) // 2nd - ARLONG573 (70 VP, United Nations Mars Initiative) // 3rd - Big Don (60 VP, Ecoline)"
8/4/2021 19:26:36,A0128,8/4/2021,Season 2,splitalterego,Interplanetary Cinematics,148,BreadEnthusiast,Saturn Systems,89,Scottmars,Tharsis Republic,83,,,,,"1st - splitalterego (148 VP, Interplanetary Cinematics) // 2nd - BreadEnthusiast (89 VP, Saturn Systems) // 3rd - Scottmars (83 VP, Tharsis Republic)"
8/4/2021 19:40:54,A0131,8/4/2021,Season 2,h0dgep0dge,Thorgate,92,musicforlife121,Saturn Systems,64,esle123,Phobolog,63,,,,https://www.twitch.tv/videos/1108350128                  /              https://www.twitch.tv/videos/1108351987?t=125s ,"1st - h0dgep0dge (92 VP, Thorgate) // 2nd - musicforlife121 (64 VP, Saturn Systems) // 3rd - esle123 (63 VP, Phobolog)"
8/4/2021 22:30:11,A0119,8/4/2021,Season 2,JustMartianThings,Saturn Systems,107,teamsquish,Ecoline,95,MrKnollItAll,Credicor,85,,,,,"1st - JustMartianThings (107 VP, Saturn Systems) // 2nd - teamsquish (95 VP, Ecoline) // 3rd - MrKnollItAll (85 VP, Credicor)"
8/5/2021 13:25:33,A0193,8/5/2021,Season 2,AwesomeAxolotl,Mining Guild,98,Fltr,Inventrix,89,rinu100,Interplanetary Cinematics,65,,,,https://www.twitch.tv/videos/1109033595,"1st - AwesomeAxolotl (98 VP, Mining Guild) // 2nd - Fltr (89 VP, Inventrix) // 3rd - rinu100 (65 VP, Interplanetary Cinematics)"
8/5/2021 13:33:25,A0338,8/5/2021,Season 2,Nekiyan,Interplanetary Cinematics,95,Mały Farciarz,Credicor,81,efharisto,United Nations Mars Initiative,80,,,,,"1st - Nekiyan (95 VP, Interplanetary Cinematics) // 2nd - Mały Farciarz (81 VP, Credicor) // 3rd - efharisto (80 VP, United Nations Mars Initiative)"
8/5/2021 13:43:11,A0157,8/5/2021,Season 2,regolith eaters,Mining Guild,94,Andre_Kappa,United Nations Mars Initiative,76,efharisto,Credicor,64,,,,,"1st - regolith eaters (94 VP, Mining Guild) // 2nd - Andre_Kappa (76 VP, United Nations Mars Initiative) // 3rd - efharisto (64 VP, Credicor)"
